iter	Passed	Remaining
402	10506	15564
403	10533	15538
404	10562	15518
405	10589	15493
406	10612	15462
407	10637	15434
408	10661	15405
409	10686	15378
410	10711	15350
411	10738	15325
412	10762	15296
413	10787	15269
414	10812	15241
415	10836	15212
416	10861	15185
417	10884	15155
418	10911	15130
419	10935	15101
420	10962	15076
421	10986	15048
422	11010	15018
423	11035	14992
424	11060	14963
425	11084	14935
426	11109	14907
427	11132	14878
428	11155	14848
429	11180	14820
430	11206	14794
431	11231	14767
432	11256	14739
433	11279	14710
434	11307	14686
435	11333	14661
436	11362	14638
437	11387	14611
438	11416	14588
439	11441	14562
440	11464	14532
441	11487	14502
442	11510	14473
443	11535	14445
444	11561	14419
445	11586	14391
446	11609	14362
447	11635	14336
448	11658	14307
449	11682	14279
450	11707	14251
451	11731	14223
452	11753	14191
453	11780	14167
454	11802	14137
455	11828	14111
456	11853	14083
457	11878	14057
458	11902	14029
459	11928	14002
460	11953	13975
461	11977	13948
462	12001	13920
463	12026	13893
464	12051	13866
465	12076	13838
466	12101	13811
467	12127	13785
468	12150	13756
469	12163	13716
470	12187	13688
471	12211	13660
472	12236	13633
473	12259	13603
474	12282	13575
475	12305	13546
476	12330	13520
477	12356	13493
478	12379	13464
479	12402	13436
480	12429	13411
481	12453	13383
482	12477	13355
483	12500	13326
484	12523	13297
485	12547	13269
486	12573	13244
487	12597	13217
488	12621	13188
489	12645	13161
490	12668	13132
491	12692	13104
492	12717	13078
493	12742	13052
494	12767	13025
495	12790	12997
496	12815	12970
497	12840	12943
498	12866	12917
499	12892	12892
500	12918	12866
501	12942	12839
502	12967	12812
503	12994	12787
504	13016	12758
505	13040	12731
506	13065	12705
507	13091	12678
508	13119	12655
509	13143	12627
510	13172	12605
511	13196	12577
512	13220	12550
513	13242	12521
514	13265	12492
515	13290	12466
516	13316	12440
517	13342	12415
518	13365	12387
519	13392	12362
520	13417	12335
521	13437	12305
522	13463	12279
523	13489	12253
524	13514	12227
525	13543	12204
526	13572	12181
527	13603	12161
528	13631	12137
529	13662	12115
530	13693	12094
531	13724	12073
532	13749	12047
533	13775	12020
534	13801	11995
535	13827	11970
536	13852	11943
537	13876	11916
538	13903	11891
539	13928	11865
540	13953	11838
541	13979	11813
542	14003	11785
543	14029	11760
544	14055	11734
545	14079	11707
546	14102	11678
547	14127	11652
548	14151	11625
549	14175	11598
550	14200	11571
551	14226	11546
552	14250	11518
553	14274	11491
554	14298	11464
555	14323	11438
556	14350	11413
557	14376	11388
558	14403	11363
559	14431	11339
560	14457	11313
561	14484	11288
562	14508	11261
563	14533	11235
564	14559	11209
565	14586	11185
566	14616	11162
567	14649	11141
568	14681	11121
569	14714	11100
570	14746	11079
571	14772	11053
572	14803	11031
573	14833	11008
574	14863	10985
575	14890	10961
576	14921	10939
577	14953	10917
578	14983	10894
579	15011	10870
580	15046	10850
581	15078	10829
582	15105	10804
583	15127	10775
584	15152	10748
585	15176	10722
586	15204	10697
587	15227	10669
588	15252	10642
589	15278	10617
590	15303	10590
591	15330	10565
592	15352	10537
593	15380	10512
594	15403	10484
595	15430	10459
596	15456	10433
597	15478	10405
598	15504	10379
599	15528	10352
600	15553	10325
601	15579	10300
602	15604	10273
603	15631	10248
604	15656	10222
605	15681	10195
606	15706	10169
607	15731	10142
608	15757	10116
609	15786	10092
610	15816	10069
611	15845	10046
612	15873	10021
613	15898	9994
614	15924	9969
615	15949	9942
616	15974	9916
617	16002	9891
618	16027	9865
619	16051	9838
620	16075	9811
621	16100	9784
622	16121	9755
623	16145	9728
624	16168	9700
625	16190	9672
626	16214	9646
627	16236	9617
628	16259	9590
629	16281	9562
630	16304	9534
631	16328	9507
632	16349	9478
633	16373	9452
634	16398	9425
635	16423	9399
636	16448	9373
637	16476	9348
638	16500	9321
639	16525	9295
640	16549	9268
641	16575	9242
642	16600	9216
643	16627	9191
644	16652	9165
645	16678	9139
646	16702	9112
647	16724	9084
648	16748	9058
649	16773	9032
650	16800	9006
651	16821	8978
652	16846	8952
653	16868	8924
654	16894	8898
655	16918	8871
656	16942	8845
657	16968	8819
658	16992	8792
659	17016	8766
660	17042	8740
661	17063	8712
662	17087	8685
663	17112	8659
664	17137	8633
665	17161	8606
666	17186	8580
667	17210	8553
668	17238	8529
669	17268	8505
670	17291	8478
671	17315	8451
672	17341	8425
673	17362	8397
674	17383	8369
675	17409	8344
676	17434	8318
677	17459	8292
678	17484	8265
679	17510	8240
680	17534	8213
681	17559	8187
682	17584	8161
683	17606	8134
684	17628	8106
685	17651	8079
686	17674	8052
687	17695	8024
688	17719	7998
689	17741	7970
690	17764	7943
691	17786	7916
692	17807	7888
693	17830	7861
694	17853	7834
695	17876	7808
696	17901	7782
697	17925	7755
698	17951	7730
699	17976	7704
700	18002	7678
701	18030	7653
702	18059	7629
703	18085	7604
704	18111	7578
705	18132	7551
706	18156	7524
707	18179	7497
708	18201	7470
709	18225	7444
710	18246	7416
711	18267	7389
712	18294	7363
713	18315	7336
714	18337	7309
715	18358	7281
716	18382	7255
717	18407	7229
718	18433	7204
719	18454	7176
720	18475	7149
721	18498	7122
722	18523	7096
723	18546	7070
724	18574	7045
725	18597	7018
726	18622	6993
727	18643	6965
728	18668	6939
729	18691	6913
730	18717	6887
731	18739	6860
732	18761	6834
733	18782	6806
734	18803	6779
735	18828	6753
736	18850	6726
737	18876	6701
738	18896	6673
739	18921	6648
740	18944	6621
741	18965	6594
742	18987	6567
743	19012	6541
744	19034	6515
745	19056	6488
746	19078	6461
747	19101	6435
748	19121	6407
749	19144	6381
750	19165	6354
751	19188	6328
752	19210	6301
753	19234	6275
754	19258	6249
755	19283	6223
756	19308	6197
757	19330	6171
758	19351	6144
759	19377	6119
760	19400	6092
761	19421	6066
762	19443	6039
763	19464	6012
764	19484	5985
765	19506	5958
766	19529	5932
767	19553	5906
